time,Bx,By,Bz,Btotal
2023-07-25 10:40:25.7400,-17.44,-32.17,-36.0,51.33
2023-07-25 10:40:25.8410,-16.61,-31.1,-37.55,51.51
2023-07-25 10:40:25.9410,-15.87,-30.62,-38.13,51.42
2023-07-25 10:40:26.0400,-14.51,-30.81,-38.57,51.45
2023-07-25 10:40:26.1400,-14.14,-30.78,-38.7,51.43
2023-07-25 10:40:26.2390,-13.44,-30.99,-38.99,51.59
2023-07-25 10:40:26.3390,-13.45,-30.85,-39.15,51.63
2023-07-25 10:40:26.4390,-13.23,-30.61,-39.13,51.41
2023-07-25 10:40:26.5390,-13.3,-30.32,-39.53,51.57
2023-07-25 10:40:26.6380,-13.16,-30.46,-39.73,51.76
2023-07-25 10:40:26.7380,-12.75,-30.25,-39.82,51.61
2023-07-25 10:40:26.8370,-12.32,-30.54,-39.94,51.77
2023-07-25 10:40:26.9380,-11.89,-30.29,-40.09,51.64
2023-07-25 10:40:27.0370,-11.96,-30.29,-40.07,51.64
2023-07-25 10:40:27.1370,-12.03,-30.36,-40.21,51.8
2023-07-25 10:40:27.2370,-12.13,-30.0,-40.44,51.8
2023-07-25 10:40:27.3360,-11.79,-29.82,-40.41,51.59
2023-07-25 10:40:27.4360,-11.86,-29.71,-40.56,51.66
2023-07-25 10:40:27.5350,-11.8,-29.44,-40.87,51.73
2023-07-25 10:40:27.6360,-11.74,-29.29,-40.67,51.48
2023-07-25 10:40:27.7350,-11.76,-29.13,-40.98,51.64
2023-07-25 10:40:27.8340,-11.58,-29.18,-41.02,51.66
2023-07-25 10:40:27.9350,-11.74,-29.01,-41.16,51.7
2023-07-25 10:40:28.0340,-11.82,-28.73,-41.44,51.79
2023-07-25 10:40:28.1340,-11.88,-28.62,-41.15,51.51
2023-07-25 10:40:28.2330,-11.62,-28.62,-41.28,51.56
2023-07-25 10:40:28.3330,-11.7,-28.64,-41.25,51.56
2023-07-25 10:40:28.4320,-11.77,-28.61,-41.58,51.83
2023-07-25 10:40:28.5320,-11.93,-28.47,-41.65,51.84
2023-07-25 10:40:28.6320,-12.78,-27.55,-41.72,51.61
2023-07-25 10:40:28.7310,-14.14,-25.52,-42.84,51.83
2023-07-25 10:40:28.8310,-14.98,-23.79,-43.8,52.05
2023-07-25 10:40:28.9320,-15.86,-24.25,-43.18,52.0
2023-07-25 10:40:29.0310,-16.94,-24.19,-42.79,51.99
2023-07-25 10:40:29.1310,-18.16,-24.52,-41.86,51.8
2023-07-25 10:40:29.2310,-18.18,-25.17,-41.45,51.79
2023-07-25 10:40:29.3310,-18.23,-25.33,-41.4,51.84
2023-07-25 10:40:29.4280,-17.56,-25.23,-41.54,51.68
2023-07-25 10:40:29.5280,-17.1,-25.35,-41.78,51.78
2023-07-25 10:40:29.6280,-16.87,-25.64,-41.74,51.81
2023-07-25 10:40:29.7280,-16.57,-25.54,-41.76,51.68
2023-07-25 10:40:29.8270,-16.28,-25.4,-42.13,51.81
2023-07-25 10:40:29.9280,-16.27,-25.1,-42.5,51.97
2023-07-25 10:40:30.0270,-16.08,-25.04,-42.38,51.78
2023-07-25 10:40:30.1270,-16.09,-25.05,-42.23,51.67
2023-07-25 10:40:30.2270,-15.81,-24.88,-42.52,51.74
2023-07-25 10:40:30.3250,-15.6,-25.03,-42.45,51.69
2023-07-25 10:40:30.4250,-15.69,-24.87,-42.5,51.69
2023-07-25 10:40:30.5250,-15.64,-24.73,-42.65,51.73
2023-07-25 10:40:30.6250,-15.49,-24.76,-42.7,51.74
2023-07-25 10:40:30.7260,-15.43,-24.82,-42.89,51.9
2023-07-25 10:40:30.8240,-15.4,-24.66,-42.64,51.61
2023-07-25 10:40:30.9240,-15.36,-24.37,-42.97,51.73
2023-07-25 10:40:31.0240,-15.25,-24.43,-42.98,51.73
2023-07-25 10:40:31.1240,-15.22,-24.34,-42.84,51.57
2023-07-25 10:40:31.2240,-15.25,-24.42,-42.99,51.74
2023-07-25 10:40:31.3240,-15.12,-24.52,-42.92,51.69
2023-07-25 10:40:31.4230,-14.86,-24.04,-43.32,51.73
2023-07-25 10:40:31.5230,-14.55,-23.84,-43.6,51.78
2023-07-25 10:40:31.6230,-14.77,-24.7,-43.09,51.81
2023-07-25 10:40:31.7230,-15.06,-24.56,-43.0,51.76
2023-07-25 10:40:31.8210,-14.57,-25.04,-42.87,51.74
2023-07-25 10:40:31.9220,-14.47,-23.88,-43.59,51.77
2023-07-25 10:40:32.0220,-14.7,-23.83,-43.64,51.85
2023-07-25 10:40:32.1210,-14.15,-23.65,-43.82,51.77
2023-07-25 10:40:32.2220,-13.71,-23.55,-43.88,51.66
2023-07-25 10:40:32.3210,-13.9,-23.66,-44.06,51.91
2023-07-25 10:40:32.4200,-13.53,-23.5,-44.22,51.87
2023-07-25 10:40:32.5200,-13.27,-23.64,-44.12,51.78
2023-07-25 10:40:32.6210,-13.26,-23.92,-44.11,51.9
2023-07-25 10:40:32.7200,-13.27,-23.74,-44.33,52.01
2023-07-25 10:40:32.8190,-13.29,-23.68,-44.23,51.91
2023-07-25 10:40:32.9190,-13.13,-23.65,-44.16,51.79
2023-07-25 10:40:33.0180,-13.24,-23.56,-44.3,51.89
2023-07-25 10:40:33.1180,-13.21,-23.61,-44.33,51.93
2023-07-25 10:40:33.2170,-13.25,-23.53,-44.17,51.77
2023-07-25 10:40:33.3170,-13.13,-23.4,-44.3,51.79
2023-07-25 10:40:33.4170,-13.34,-23.54,-44.19,51.82
2023-07-25 10:40:33.5170,-13.5,-23.27,-44.4,51.92
2023-07-25 10:40:33.6180,-13.07,-23.24,-44.23,51.64
2023-07-25 10:40:33.7170,-13.21,-23.04,-44.55,51.87
2023-07-25 10:40:33.8160,-13.06,-23.24,-44.08,51.51
2023-07-25 10:40:33.9150,-13.33,-23.29,-44.28,51.78
2023-07-25 10:40:34.0150,-13.13,-23.35,-44.28,51.75
2023-07-25 10:40:34.1150,-12.93,-23.46,-44.21,51.69
2023-07-25 10:40:34.2150,-13.2,-23.36,-44.53,52.0
2023-07-25 10:40:34.3140,-12.94,-23.54,-44.54,52.01
2023-07-25 10:40:34.4140,-12.32,-23.19,-44.62,51.78
2023-07-25 10:40:34.5140,-12.25,-23.75,-44.31,51.74
2023-07-25 10:40:34.6130,-12.65,-23.85,-44.42,51.98
2023-07-25 10:40:34.7130,-13.1,-24.13,-43.8,51.7
2023-07-25 10:40:34.8130,-12.71,-24.37,-44.03,51.91
2023-07-25 10:40:34.9110,-12.8,-23.99,-44.1,51.81
2023-07-25 10:40:35.0110,-13.0,-23.97,-44.21,51.94
2023-07-25 10:40:35.1120,-12.84,-23.87,-44.24,51.88
2023-07-25 10:40:35.2110,-12.9,-23.97,-44.12,51.84
2023-07-25 10:40:35.3100,-12.92,-23.83,-44.3,51.94
2023-07-25 10:40:35.4110,-13.05,-23.87,-44.22,51.92
2023-07-25 10:40:35.5110,-13.19,-23.89,-44.3,52.04
2023-07-25 10:40:35.6100,-13.48,-23.88,-43.93,51.78
2023-07-25 10:40:35.7100,-13.15,-23.81,-44.4,52.07
2023-07-25 10:40:35.8100,-13.33,-23.81,-44.25,51.98
2023-07-25 10:40:35.9100,-13.34,-24.03,-44.37,52.19
2023-07-25 10:40:36.0090,-13.27,-24.17,-43.99,51.92
2023-07-25 10:40:36.1090,-13.58,-24.58,-43.77,52.01
